video_id,video_title,author,comment_text
LD_Kjh7ZhMU,Are you ready?👀👁️,Sourabh Kumar,Name??
LD_Kjh7ZhMU,Are you ready?👀👁️,Abdulrosheed Abdullahi,Hello dear how are you doing
LD_Kjh7ZhMU,Are you ready?👀👁️,Abdul1056,"&quot;Soap trusted you, and so do I&quot;"
LD_Kjh7ZhMU,Are you ready?👀👁️,magdalena sanchez,Insecure about her under arms 😆
LD_Kjh7ZhMU,Are you ready?👀👁️,joe rroo,Pourquoi pas tu me donne idée de…..  oh non
LD_Kjh7ZhMU,Are you ready?👀👁️,vickyvikram,I m ready
LD_Kjh7ZhMU,Are you ready?👀👁️,Mariusz Karwowski,Mmmniam😋🤗🤗😍
LD_Kjh7ZhMU,Are you ready?👀👁️,Ilhomjon Ruzayev,Salom
LD_Kjh7ZhMU,Are you ready?👀👁️,Raouf Al-mufleh,Oh god 🔥🔥💔💔
LD_Kjh7ZhMU,Are you ready?👀👁️,Rules channel,😘😍😘😍
LD_Kjh7ZhMU,Are you ready?👀👁️,Vasile Cionca,Te iubesc mult facem amor han dormitor ❤️❤️❤️❤️❤️
LD_Kjh7ZhMU,Are you ready?👀👁️,Sufyan Ali.   786,Nice
LD_Kjh7ZhMU,Are you ready?👀👁️,Mahliyo Misirova,Voy man borib qolsam wu joyiga😊😘💐💋
LD_Kjh7ZhMU,Are you ready?👀👁️,Anwar Zeb,Yes
LD_Kjh7ZhMU,Are you ready?👀👁️,Rene Espinoza,I&#39;d eat cake with you anytime
LD_Kjh7ZhMU,Are you ready?👀👁️,VISHAL KUMAR SAINI,Hi
LD_Kjh7ZhMU,Are you ready?👀👁️,Malay Panda,Ne bb. Dde
LD_Kjh7ZhMU,Are you ready?👀👁️,Bricio Gonzales,😘🌹
LD_Kjh7ZhMU,Are you ready?👀👁️,Ismael Laboy,Lovely beautiful n very pretty gorgeous amazing stunning looking woman ♥️ 👩
LD_Kjh7ZhMU,Are you ready?👀👁️,Zohaib Ali,Nice jan
LD_Kjh7ZhMU,Are you ready?👀👁️,rasheed khan,I am here... wish to be there...
LD_Kjh7ZhMU,Are you ready?👀👁️,Viewed VIEWERS,I&#39;ll do anything for views...<br>I promise..
LD_Kjh7ZhMU,Are you ready?👀👁️,Pedro Reynaga,It&#39;s really like a dream come true... 😀🎂🎉🎊📨🍓🍒💋🍒💚💚💙♻️🥳. 💋💋💋💋💋💋💋💋💋💋💋📨
LD_Kjh7ZhMU,Are you ready?👀👁️,Arya J,😍😍😍😍
LD_Kjh7ZhMU,Are you ready?👀👁️,Bond Madhu,Bun and butter
LD_Kjh7ZhMU,Are you ready?👀👁️,??,Her name please
LD_Kjh7ZhMU,Are you ready?👀👁️,慕佳易,真舒服
LD_Kjh7ZhMU,Are you ready?👀👁️,Sasei Kutty,👁️🔥🍌
LD_Kjh7ZhMU,Are you ready?👀👁️,Kelton Dalagnol,Perfeita😃😃😃😃😃😃😃😃😃
LD_Kjh7ZhMU,Are you ready?👀👁️,WH' PROGRAMMING SCIENCE,Meditation library butterfly 🦋 what&#39;s you yoga dance institute syllabus
